"long","lat","area","abund","counts"
2.34690177313836,6.44404397631374,6,1,6
1.9831399107789,7.17462640263207,6,3,18
2.56376587438821,7.42482156004434,6,1,6
2.35663725029593,6.52086706451501,6,1,6
1.84666457545761,6.33127198688565,6,0,0
2.61363887365314,6.99257597949993,6,1,6
2.20464563285427,6.4018699805549,6,1,6
2.66025772899459,6.52487133833032,6,1,6
2.46637406672705,6.6989968680984,6,1,6
1.75872132705628,6.68019325917345,6,2,12
2.37350264451294,6.55779873307576,6,1,6
2.03139250364389,7.56049128329688,6,2,12
2.19674707700574,6.81316924474042,6,2,12
2.2095537448713,6.85865968226627,6,2,12
2.33328681781434,6.37597147992731,6,0,0
2.01143199887872,7.00777648570516,6,2,12
1.96297043170641,8.28609512638704,6,1,6
1.75725402855963,8.25889947330556,6,0,0
1.68207887772748,6.23140882598238,6,2,12
1.69352136512735,7.56266471763024,6,2,12
2.15115941718214,7.02454046029988,6,1,6
1.63073972832307,8.4228431309315,6,1,6
2.3706839738022,6.50454113374022,6,1,6
2.69106474833957,9.39100509745756,6,2,12
3.07710680623471,11.4315131068883,6,3,18
2.15317256491533,6.64965036476082,6,1,6
1.68395479407809,6.93002414227771,6,2,12
1.67236973187573,6.579590260925,6,2,12
2.04837025387385,6.64259668318053,6,0,0
2.67207011625774,6.54746679560433,6,1,6
1.69170533915013,6.94167663080284,6,3,18
2.44166549423895,11.2977249618026,6,3,18
2.7055399946018,6.6574220964888,6,1,6
1.88224085998516,8.41804432508023,6,2,12
1.6589332873782,9.0105732187069,6,5,30
3.00439457210055,11.1828939335466,6,5,30
1.49307526864595,10.9140142284103,6,3,18
1.71662252149733,9.8161330351914,6,3,18
2.66637411716877,10.2316487203896,6,3,18
1.62929474261057,8.74199807482904,6,4,24
1.52983994080707,9.99622707749923,6,5,30
2.06874977329263,7.20769479291584,6,2,12
2.4480135375645,6.89616092208514,6,1,6
1.97593667276558,6.58009889496882,6,5,30
1.11086629112243,10.1695421012268,6,7,42
2.40379267952915,6.35844362866929,6,0,0
2.0612750274782,7.12624014516116,6,3,18
1.65858407552205,7.83927117963684,6,2,12
2.30146907406096,6.38279423362779,6,0,0
2.28089783726861,6.37935214395908,6,0,0
1.88512386125251,6.40576649627993,6,6,36
2.4260516837155,6.35838082341508,6,0,0
2.29401067300293,7.22583613825362,6,3,18
2.05654380179725,7.35046225501462,6,3,18
2.68617284173562,6.49510822412462,6,1,6
1.14460212920214,10.8156904181886,6,12,72
2.19175724041646,7.75737748388426,6,12,72
1.96761202672715,7.12565844173844,6,2,12
1.70802732952528,6.90021615554174,6,2,12
2.65236567070953,6.4985320491295,6,0,0
2.64019874221082,6.49291264917613,6,0,0
1.94204483257936,7.32910244601436,6,3,18
1.6593749293926,9.70290711415508,6,3,18
1.77654149732322,6.81812469483365,6,2,12
1.77862094657881,6.80400165286711,6,2,12
1.92690866272508,9.09370201680557,6,1,6
1.92892292041139,10.0550116479999,6,3,18
2.2986791864797,7.95870581799078,6,3,18
2.34303537310858,6.36634593826232,6,1,6
2.83709815819917,10.8486951137389,6,3,18
1.96746543414961,8.12560023984527,6,2,12
1.83273388551918,6.280436054041,6,3,18
2.25343420865702,6.41692783337419,6,1,6
1.63360089530773,6.23415723119493,6,1,6
2.16572875884635,6.75913747306759,6,2,12
1.94113002125011,6.44126913599328,6,2,12
1.94845138903609,8.9783906299601,6,2,12
3.37129806950713,10.2949773896273,6,3,18
2.94135932967496,11.1417881940804,6,3,18
3.18803515418037,12.0714248961431,6,12,72
2.71302502411552,10.7827088472773,6,8,48
2.6768660833848,6.58889639834773,6,1,6
1.73637727924539,9.0087544572274,6,2,12
1.00819463691175,10.4836830853289,6,5,30
1.55163436883708,9.8403964629556,6,5,30
2.06499766935878,6.39650415085782,6,5,30
1.87889315824681,6.91977778119921,6,3,18
2.17379532086166,6.92293354430208,6,5,30
1.86474603957321,7.09238100731004,6,3,18
1.72262752255852,6.6256232409314,6,2,12
3.37876282078529,11.8639302887665,6,4,24
1.46342045539939,9.91102347889895,6,4,24
2.08138234664708,9.38987641430487,6,4,24
1.06061056784745,10.6887474788494,6,8,48
2.59076713678846,6.57484531595409,6,1,6
2.3331699076789,6.51600890423812,6,1,6
1.37672387072551,10.3140175604549,6,7,42
2.71208632966655,9.86599958412167,6,3,18
3.1995725970708,9.9352855717952,6,3,18
1.60625116832475,10.1767088084713,6,2,12
1.39194085516415,9.66079887056866,6,2,12
2.10714555429651,7.04546495508007,6,3,18
2.25914938158612,6.44182366449172,6,1,6
2.44205202396972,8.48305946439786,6,2,12
2.08958135499637,6.36516349165024,6,1,6
2.21648268350457,6.37760346792137,6,0,0
2.60471699735699,8.81314674363855,6,3,18
3.027225557396,10.308216349073,6,2,12
1.99282573270782,10.2233069030974,6,3,18
1.55033301134621,9.2556277794653,6,2,12
2.9857625263613,9.80656092650438,6,3,18
1.73472321371735,8.49361228180412,6,2,12
2.69062943736804,6.96220292613518,6,1,6
0.966072790224359,11.0537003697189,6,8,48
2.61178786435622,6.47980889319336,6,0,0
1.63368159568364,8.66367658812753,6,3,18
1.97708162747101,7.36242635303709,6,1,6
1.96395538165372,7.93474574059127,6,3,18
2.48892452145964,8.04117830950411,6,3,18
2.10604927886974,6.4099296943898,6,1,6
1.83602822157123,6.48678269511577,6,2,12
3.68450856897123,10.9354023900866,6,3,18
1.96628585249079,6.39577571238925,6,2,12
2.62311737125061,6.36177116296569,6,0,0
2.38449464801865,10.3473872532175,6,3,18
2.3986400636398,6.49267263448616,6,0,0
1.25536650968686,10.6202348360634,6,6,36
2.60044775842099,8.87814534219848,6,3,18
2.08724379252522,6.85835305303158,6,4,24
1.66701438701098,7.09411416283427,6,1,6
2.16779015480068,6.50469193951207,6,1,6
2.15302833642324,6.49502792972261,6,1,6
1.37275630073183,10.4953390164862,6,5,30
1.82400758479675,6.8279102777837,6,2,12
2.16997590682836,9.16011765144814,6,2,12
2.24286478763906,8.99262077113017,6,1,6
2.17423245367807,8.01264911273328,6,3,18
2.35698236604545,7.27161293899334,6,3,18
2.30534746378793,6.7780163863192,6,2,12
2.34183694065798,6.60831265914646,6,1,6
2.09610427629825,7.08059076501436,6,6,36
2.3209677128665,6.49551312227872,6,1,6
